이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
홍창기,19, RF,0.037,7,1,20.0,6,6,0,0,100.0,2.70,0.35,0.07,0.03,,,,,,0.45,2.82,-0.07,0.38,0.044
김주성,24, 3B,0.036,2,0,4.0,2,0,2,0,100.0,4.50,0.36,,0.01,,,,,,0.38,27.27,0.00,0.38,0.036
문성주,24, CF,0.035,1,0,2.0,1,1,0,0,100.0,4.50,0.37,,0.00,,,,,,0.37,0.82,0.00,0.37,0.035
이영빈,22, 1B,0.032,6,2,20.0,19,19,0,0,100.0,8.55,0.30,,0.02,,0.15,,,,0.46,1.11,-0.14,0.32,0.045
전민수,19, RF,0.030,16,5,66.0,21,19,2,0,100.0,2.86,-0.43,0.89,0.11,,,,,,0.58,1.11,-0.27,0.31,0.056
손호영,22, 1B,0.030,2,0,4.0,6,5,1,0,100.0,13.50,0.32,,0.00,,,,,,0.33,1.31,-0.02,0.31,0.032
김기연,22, C,0.029,12,1,24.0,12,12,0,0,100.0,4.50,-0.03,,0.07,,,,0.75,-0.71,0.09,1.02,0.22,0.30,0.008
안익훈,23, CF,0.027,1,1,6.0,1,1,0,0,100.0,1.50,0.27,,0.01,,,,,,0.28,3.70,0.00,0.28,0.027
신민재,20, CF,0.025,31,2,70.0,23,23,0,0,100.0,2.96,0.09,0.12,0.08,,,,,,0.29,0.61,0.00,0.29,0.025
안익훈,24, CF,0.024,1,0,1.0,1,1,0,0,100.0,9.00,0.26,,0.00,,,,,,0.26,9.30,0.00,0.26,0.024
안익훈,22, CF,0.024,4,0,8.0,3,3,0,0,100.0,3.38,0.24,,0.01,,,,,,0.25,2.54,0.00,0.25,0.024
이상호,22, 3B,0.022,5,2,18.1,11,3,7,1,90.9,4.91,0.88,,-0.47,-0.18,,,,,0.22,0.54,0.00,0.22,0.022
장준원,20, 1B,0.021,1,1,7.0,7,7,0,0,100.0,9.00,0.29,,0.01,,,,,,0.30,0.93,-0.06,0.24,0.026
김호은,21, 1B,0.021,2,1,9.0,11,9,2,0,100.0,11.00,0.29,,0.01,,,,,,0.30,6.10,-0.08,0.22,0.028
신민재,23, LF,0.018,10,0,19.2,4,4,0,0,100.0,1.83,-0.09,0.28,0.04,,,,,,0.23,0.27,-0.04,0.19,0.022
김현종,24, CF,0.016,4,0,9.0,3,3,0,0,100.0,3.00,0.16,-0.01,0.02,,,,,,0.16,1.58,0.00,0.16,0.016
김용의,21, CF,0.015,1,0,2.0,1,1,0,0,100.0,4.50,0.15,,0.00,,,,,,0.15,0.22,0.00,0.15,0.015
김현종,24, RF,0.012,1,0,3.0,0,0,0,0,,0.00,0.00,0.12,0.01,,,,,,0.13,1.27,-0.01,0.12,0.013
홍창기,19, LF,0.009,7,0,17.0,6,5,1,0,100.0,3.18,-0.19,0.32,0.02,,,,,,0.14,0.90,-0.05,0.09,0.014
