이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
백승건,23, P,0.30,25,2,23,3,0,0,2,2,0,3,38.0,21,24,21.75,170,41,5,0,7,17,0,0,29,2,0,0,4.97,5.68,5.15,5.01,5.52,1.53
최민준,23, P,0.28,53,0,53,6,0,0,5,3,1,7,60.0,28,29,34.70,262,75,10,2,7,19,1,1,37,2,0,2,4.20,4.35,5.20,5.10,4.68,1.57
최민준,22, P,0.26,51,1,50,10,0,0,5,4,0,5,68.1,30,37,36.80,288,51,8,1,10,34,2,2,48,8,0,7,3.95,4.87,4.85,4.64,5.40,1.24
김건우,21, P,0.25,6,4,2,1,0,0,0,1,0,0,11.0,6,7,4.95,54,8,1,0,1,12,0,0,7,1,0,1,4.91,5.73,4.05,4.13,6.64,1.82
고효준,24, P,0.24,21,0,21,2,0,0,2,0,0,5,17.2,11,12,10.60,85,15,2,0,2,17,1,1,24,1,0,2,5.60,6.11,5.40,5.14,5.28,1.81
송영진,24, P,0.24,11,6,5,1,0,0,1,2,0,0,35.0,22,26,24.45,155,39,10,1,3,15,0,0,32,2,0,2,5.66,6.69,6.29,6.40,4.23,1.54
박민호,23, P,0.24,10,0,10,1,0,0,0,0,0,0,10.0,1,3,3.00,47,14,1,0,0,1,2,0,4,1,0,0,0.90,2.70,2.70,2.70,3.78,1.50
김정빈,20, P,0.24,57,0,57,4,0,0,1,1,1,10,47.1,27,30,31.00,226,37,8,1,5,45,8,1,42,2,0,6,5.13,5.70,5.89,5.77,6.50,1.73
서동민,21, P,0.17,20,0,20,6,0,0,0,0,0,0,26.1,15,15,15.70,118,27,4,1,5,17,1,0,24,1,0,1,5.13,5.13,5.37,5.46,5.87,1.67
이케빈,19, P,0.16,1,1,0,0,0,0,0,0,0,0,3.0,1,1,0.65,14,2,0,0,0,3,0,0,3,0,0,1,3.00,3.00,1.95,2.08,4.41,1.67
박희수,20, P,0.15,28,0,28,9,0,0,0,1,0,0,24.2,15,16,18.05,112,28,6,0,4,10,0,1,26,2,0,2,5.47,5.84,6.59,6.45,4.55,1.54
서동민,22, P,0.15,20,0,20,2,0,0,1,1,0,5,21.0,6,11,10.65,86,13,3,0,3,11,1,0,19,2,0,3,2.57,4.71,4.56,4.37,4.99,1.14
박시후,24, P,0.12,4,0,4,2,0,0,0,0,0,0,5.2,2,2,2.00,25,3,0,0,0,4,0,0,4,1,0,0,3.18,3.18,3.18,3.06,4.59,1.24
고효준,22, P,0.11,45,0,45,6,0,0,1,0,0,7,38.2,16,18,21.10,174,35,6,2,1,20,2,2,35,5,0,7,3.72,4.19,4.91,4.84,3.51,1.42
정수민,21, P,0.10,10,7,3,2,0,0,1,2,0,0,30.1,23,24,23.30,151,34,5,1,6,27,1,1,22,2,0,1,6.82,7.12,6.91,6.61,7.07,2.01
신재웅,21, P,0.10,8,0,8,4,0,0,0,0,0,0,8.1,4,4,4.85,37,6,1,0,0,5,0,0,9,1,1,0,4.32,4.32,5.24,4.94,2.93,1.32
장지훈,22, P,0.10,40,0,40,12,0,0,2,0,0,6,55.0,26,26,30.65,231,56,8,2,6,11,3,2,33,3,0,4,4.25,4.25,5.02,4.77,4.37,1.22
박종훈,24, P,0.10,8,7,1,1,0,0,1,3,0,0,27.2,23,24,22.10,132,31,7,0,6,17,6,0,26,0,0,1,7.48,7.81,7.19,7.03,6.98,1.73
윤희상,20, P,0.09,4,1,3,2,0,0,0,0,0,0,3.0,1,1,0.30,11,1,0,0,0,2,0,0,2,0,0,0,3.00,3.00,0.90,0.85,4.40,1.00
김주온,21, P,0.08,2,0,2,2,0,0,0,0,0,0,2.0,0,0,0.00,10,1,1,0,0,2,1,0,3,0,0,0,0.00,0.00,0.00,0.00,4.67,1.50
정동윤,21, P,0.08,1,0,1,1,0,0,0,0,0,0,2.0,0,0,0.00,7,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5.32,1.00
송영진,23, P,0.08,17,9,8,1,0,0,3,3,0,0,47.1,30,35,34.65,220,46,9,1,3,31,2,0,38,5,2,8,5.70,6.65,6.59,6.50,4.76,1.63
김주한,19, P,0.06,11,1,10,7,0,0,1,1,0,1,12.0,7,7,6.50,56,12,4,1,0,7,2,1,10,0,0,2,5.25,5.25,4.88,4.50,3.79,1.58
서동민,20, P,0.03,9,0,9,8,0,0,0,0,0,0,8.1,5,5,6.55,38,10,2,0,2,4,0,0,7,0,0,0,5.40,5.40,7.07,6.69,6.24,1.68
신재영,21, P,0.03,20,1,19,12,0,0,0,0,0,0,28.1,18,18,18.70,124,35,5,1,3,2,4,0,27,1,0,1,5.72,5.72,5.94,5.66,3.30,1.31
강지광,20, P,0.02,6,0,6,0,0,0,0,0,0,0,3.2,2,3,3.00,20,7,0,0,1,1,0,0,4,1,0,0,4.91,7.36,7.36,6.89,5.36,2.18
조성훈,23, P,0.02,2,2,0,0,0,0,0,1,0,0,7.0,5,5,5.00,34,10,1,0,0,4,2,0,4,0,0,0,6.43,6.43,6.43,6.12,5.08,2.00
박종훈,22, P,0.00,11,11,0,0,0,0,3,5,0,0,48.0,32,34,32.95,220,52,4,1,6,21,8,0,40,3,0,3,6.00,6.38,6.18,6.03,5.06,1.52
조영우,19, P,0.00,7,1,6,2,0,0,0,0,0,0,12.1,11,12,12.70,57,19,2,0,3,4,0,0,8,1,0,0,8.03,8.76,9.27,8.80,6.09,1.86
신재웅,20, P,-0.01,24,0,24,3,0,0,2,0,0,0,19.1,20,20,17.05,93,26,3,2,5,14,0,0,11,0,0,0,9.31,9.31,7.94,7.62,7.90,2.07
이기순,23, P,-0.01,2,0,2,1,0,0,0,0,0,0,3.0,3,3,3.00,16,3,0,0,1,4,0,0,3,0,0,0,9.00,9.00,9.00,8.57,9.45,2.33
조요한,21, P,-0.01,6,0,6,1,0,0,0,0,0,1,7.0,6,6,6.00,38,10,3,0,0,9,0,0,4,0,0,0,7.71,7.71,7.71,7.27,6.32,2.71
전영준,22, P,-0.01,4,1,3,1,0,0,0,0,0,0,5.0,4,4,4.20,25,7,2,0,2,3,1,0,7,0,0,1,7.20,7.20,7.56,7.21,7.52,2.00
정영일,21, P,-0.02,1,0,1,0,0,0,0,0,0,0,2.0,2,2,2.00,9,4,1,0,1,0,0,0,0,0,0,0,9.00,9.00,9.00,10.32,9.72,2.00
김주온,22, P,-0.02,5,0,5,4,0,0,0,0,0,0,4.0,5,5,3.45,20,3,1,0,1,5,0,0,4,0,0,0,11.25,11.25,7.76,7.23,8.13,2.00
서진용,24, P,-0.03,5,0,5,1,0,0,0,0,0,0,4.0,4,4,4.00,20,2,0,0,0,6,0,1,1,1,0,0,9.00,9.00,9.00,8.92,7.42,2.00
서상준,23, P,-0.03,2,0,2,1,0,0,0,0,0,0,2.0,0,3,3.00,13,1,0,0,0,5,0,0,3,1,0,1,0.00,13.50,13.50,12.38,7.85,3.00
김택형,19, P,-0.03,26,0,26,6,0,0,2,1,0,2,23.1,15,16,16.00,115,20,4,0,1,24,2,0,27,2,0,6,5.79,6.17,6.17,6.12,4.88,1.89
김찬호,20, P,-0.04,3,0,3,1,0,0,0,0,0,0,2.0,6,6,4.45,14,5,0,0,1,4,0,0,1,0,0,0,27.00,27.00,20.02,19.14,14.90,4.50
정성곤,22, P,-0.05,2,0,2,0,0,0,0,0,0,0,2.2,3,3,3.35,13,1,0,0,1,3,1,0,3,0,0,0,10.13,10.13,11.31,10.54,10.08,1.50
시라카와,24, P,-0.05,2,2,0,0,0,0,1,1,0,0,6.1,7,8,7.50,34,10,2,0,0,7,0,0,7,0,0,0,9.95,11.37,10.66,9.66,4.83,2.68
신헌민,23, P,-0.05,11,0,11,11,0,0,0,0,0,0,12.0,8,10,10.35,62,19,6,0,1,6,0,1,8,3,0,0,6.00,7.50,7.76,7.28,4.47,2.08
이건욱,22, P,-0.05,1,1,0,0,0,0,0,1,0,0,3.0,3,3,3.00,14,2,0,0,1,4,0,0,2,0,0,0,9.00,9.00,9.00,8.39,10.22,2.00
윤태현,22, P,-0.06,3,0,3,1,0,0,0,0,0,0,2.0,2,2,2.15,10,2,0,0,0,2,0,0,2,0,1,0,9.00,9.00,9.68,10.84,4.38,2.00
오원석,21, P,-0.06,33,21,12,2,0,0,7,6,0,2,110.0,72,84,84.35,530,125,20,3,11,73,10,1,95,8,1,2,5.89,6.87,6.90,6.91,5.14,1.80
정재원,19, P,-0.07,4,0,4,3,0,0,0,0,0,0,2.2,5,5,4.50,16,6,0,0,1,0,1,0,1,1,0,0,16.88,16.88,15.19,14.29,8.50,2.25
박민호,22, P,-0.07,22,0,22,11,0,0,1,1,1,4,22.0,10,10,12.75,101,26,2,0,3,11,2,1,12,0,0,0,4.09,4.09,5.22,5.00,5.88,1.68
김건우,22, P,-0.08,2,1,1,1,0,0,0,0,0,0,3.0,3,3,3.00,17,5,1,0,1,4,0,0,1,0,0,0,9.00,9.00,9.00,8.77,11.05,3.00
이채호,21, P,-0.08,3,0,3,1,0,0,0,0,0,0,5.0,4,7,7.70,27,8,0,0,2,3,0,0,3,1,0,1,7.20,12.60,13.86,12.92,8.89,2.20
김세현,21, P,-0.08,5,0,5,1,0,0,0,0,0,0,4.1,5,5,5.85,28,9,2,0,0,7,0,1,5,0,1,0,10.38,10.38,12.15,11.46,5.17,3.69
채병용,19, P,-0.08,4,0,4,1,0,0,0,0,1,1,3.2,4,4,2.80,21,7,2,0,1,3,1,0,3,0,0,0,9.82,9.82,6.87,6.50,8.39,2.73
조병현,21, P,-0.09,3,3,0,0,0,0,0,0,0,0,6.2,6,7,7.00,33,7,3,0,1,5,1,0,8,0,0,1,8.10,9.45,9.45,9.21,5.34,1.80
이원준,19, P,-0.09,2,1,1,0,0,0,0,1,0,0,2.1,5,5,3.45,14,3,0,0,1,4,0,0,2,0,0,0,19.29,19.29,13.31,12.59,12.08,3.00
신재영,22, P,-0.09,4,0,4,2,0,0,0,0,0,0,4.1,6,6,5.80,21,9,2,0,2,0,0,0,4,0,0,1,12.46,12.46,12.05,11.47,6.97,2.08
오원석,20, P,-0.09,8,1,7,3,0,0,0,1,0,0,9.2,6,10,8.95,50,12,1,0,1,6,1,0,9,3,1,1,5.59,9.31,8.33,8.45,5.14,1.86
정성곤,23, P,-0.11,6,0,6,3,0,0,0,0,0,0,4.1,5,9,9.85,29,8,3,0,2,7,0,0,3,1,0,0,10.38,18.69,20.46,19.23,12.62,3.46
김주온,24, P,-0.11,2,0,2,2,0,0,0,0,0,0,4.2,8,8,9.55,25,8,1,0,2,3,0,0,4,0,0,0,15.43,15.43,18.42,18.27,9.12,2.36
백청훈,19, P,-0.12,5,0,5,1,0,0,0,0,1,1,4.0,3,3,3.70,20,7,1,0,0,1,0,0,4,0,0,1,6.75,6.75,8.32,7.95,2.08,2.00
임준섭,23, P,-0.12,41,0,41,11,0,0,0,2,0,4,32.2,21,25,24.15,155,44,6,0,1,19,1,1,26,1,0,2,5.79,6.89,6.65,6.58,4.12,1.93
최민준,24, P,-0.12,25,0,25,2,0,0,1,0,0,0,31.1,21,23,26.45,154,42,5,1,5,17,3,1,31,2,0,0,6.03,6.61,7.60,7.53,5.47,1.88
이원준,20, P,-0.14,17,0,17,10,0,0,0,1,0,0,19.1,16,17,18.90,100,28,5,2,3,16,0,2,17,0,0,7,7.45,7.91,8.80,8.79,5.89,2.28
김상수,22, P,-0.15,8,0,8,2,0,0,0,0,1,0,8.0,8,8,8.00,37,9,2,1,2,4,1,0,3,0,0,0,9.00,9.00,9.00,8.58,7.76,1.63
이로운,23, P,-0.15,50,0,50,14,0,0,6,1,0,5,57.2,36,39,41.05,268,67,13,1,7,29,1,2,52,4,0,3,5.62,6.09,6.41,6.16,4.65,1.66
문승원,22, P,-0.16,23,0,23,7,0,0,1,1,3,3,24.2,14,15,16.20,112,32,6,0,3,7,2,0,25,1,0,0,5.11,5.47,5.91,5.57,3.83,1.58
김태훈,22, P,-0.16,9,0,9,1,0,0,0,0,1,3,5.1,6,6,6.20,30,6,1,0,2,10,0,0,1,0,0,0,10.13,10.13,10.46,10.10,13.59,3.00
