이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
최용제,22, C,,1,0,1.0,1,1,0,0,100.0,9.00,0.00,,0.00,,,,0.03,-0.06,-0.02,-2.97,,,-0.002
김동주,22, P,,10,0,16.2,3,2,0,1,66.7,1.08,,,,,,,,,0.00,0.00,,,0.000
플렉센,20, P,,21,21,116.2,12,4,8,0,100.0,0.93,,,,,,,,,0.00,,,,0.000
이교훈,21, P,,11,0,8.1,1,0,1,0,100.0,1.08,,,,,,,,,0.00,0.00,,,0.000
박지훈,21, 2B,,1,0,2.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.01,,,0.000
이영하,21, P,,35,11,78.2,10,2,8,0,100.0,1.14,,,,,,,,,0.00,0.00,,,0.000
홍건희,24, P,,25,0,25.1,4,0,4,0,100.0,1.42,,,,,,,,,0.00,0.00,,,0.000
김민규,24, P,,6,1,9.0,0,0,0,0,,0.00,,,,,,,,,0.00,0.00,,,0.000
이영하,20, P,,42,19,132.0,25,8,17,0,100.0,1.70,,,,,,,,,0.00,0.00,,,0.000
정철원,23, P,,67,0,72.2,17,6,9,2,88.2,1.86,,,,,,,,,0.00,0.00,,,0.000
김명신,21, P,,58,1,67.0,13,2,11,0,100.0,1.75,,,,,,,,,0.00,0.00,,,0.000
권혁,19, P,,56,0,36.2,9,3,6,0,100.0,2.21,,,,,,,,,0.00,0.00,,,0.000
홍건희,21, P,,63,0,74.1,18,6,12,0,100.0,2.18,,,,,,,,,0.00,0.00,,,0.000
백동훈,21, RF,,2,0,1.1,1,1,0,0,100.0,6.75,0.07,,0.00,,,,,,0.07,2.12,,,0.007
홍건희,22, P,,58,0,62.0,17,5,12,0,100.0,2.47,,,,,,,,,0.00,0.00,,,0.000
김대한,19, LF,,1,0,2.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.01,,,0.000
국해성,19, 1B,,1,0,1.0,1,1,0,0,100.0,9.00,-0.01,,0.00,,,,,,-0.01,-0.05,,,-0.001
김태근,19, CF,,1,0,1.0,0,0,0,0,,0.00,0.00,-0.16,0.00,,,,,,-0.16,-2.61,,,-0.016
박지훈,20, 3B,,1,0,1.0,2,1,1,0,100.0,18.00,0.46,,0.00,,,,,,0.46,6.68,,,0.041
김명신,24, P,,18,0,17.0,1,1,0,0,100.0,0.53,,,,,,,,,0.00,0.00,,,0.000
박치국,23, P,,59,0,52.2,5,2,3,0,100.0,0.85,,,,,,,,,0.00,0.00,,,0.000
김민혁,24, 1B,,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.06,,,0.000
오재원,21, RF,,1,0,1.1,1,0,1,0,100.0,6.75,-0.71,0.97,0.00,,,,,,0.27,0.85,,,0.025
최용제,21, 1B,,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.00,,,0.000
