이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
김호준,23, P,-0.05,3,0,3,3,0,0,0,0,0,0,3.0,4,4,4.00,16,3,0,0,1,4,0,0,2,0,0,1,12.00,12.00,12.00,13.11,10.28,2.33
제환유,23, P,-0.05,1,0,1,0,0,0,0,0,0,0,2.0,3,4,3.65,14,3,0,0,0,4,0,0,2,1,0,1,13.50,18.00,16.42,15.26,7.55,3.50
권혁,20, P,-0.05,15,0,15,1,0,0,2,2,0,2,7.2,8,9,6.45,38,11,1,1,0,4,0,0,7,2,0,1,9.39,10.57,7.57,8.01,3.33,1.96
박정준,19, P,-0.05,2,0,2,0,0,0,0,0,0,0,1.2,6,6,4.95,13,3,1,0,0,5,0,0,0,0,0,0,32.40,32.40,26.73,25.29,13.11,4.80
박신지,20, P,-0.05,2,0,2,2,0,0,0,0,0,0,3.0,6,6,6.00,18,9,3,1,0,1,0,0,3,0,0,1,18.00,18.00,18.00,19.29,2.53,3.33
최지강,22, P,-0.06,2,0,2,1,0,0,0,0,0,0,1.2,4,4,3.50,11,6,1,0,0,2,0,0,2,0,0,1,21.60,21.60,18.90,20.18,4.50,4.80
이교훈,20, P,-0.06,5,0,5,1,0,0,0,0,0,0,4.1,5,6,5.30,24,6,2,0,1,4,0,0,3,1,0,1,10.38,12.46,11.01,11.58,7.87,2.31
유재유,21, P,-0.07,4,0,4,2,0,0,0,0,0,0,3.1,4,4,5.20,19,4,0,0,2,5,0,0,1,0,0,1,10.80,10.80,14.04,13.44,14.81,2.70
이교훈,24, P,-0.07,10,0,10,3,0,0,0,0,0,0,11.0,8,11,11.00,51,11,1,0,3,8,0,0,8,1,0,0,6.55,9.00,9.00,9.64,7.85,1.73
박소준,24, P,-0.07,1,1,0,0,0,0,0,1,0,0,4.0,5,5,5.00,20,6,0,0,2,2,0,0,2,0,0,1,11.25,11.25,11.25,10.53,10.42,2.00
박소준,21, P,-0.08,22,5,17,4,0,0,0,4,0,0,59.2,38,42,41.80,274,69,10,1,3,29,3,0,33,1,0,3,5.73,6.34,6.31,6.69,4.65,1.64
딜런,23, P,-0.08,2,2,0,0,0,0,0,1,0,0,9.0,8,9,6.95,45,10,1,0,2,5,0,0,2,3,0,1,8.00,9.00,6.95,7.08,7.66,1.67
이병헌,23, P,-0.08,36,0,36,4,0,0,0,0,0,5,27.0,14,16,17.90,126,25,7,0,2,22,1,0,28,1,0,3,4.67,5.33,5.97,6.29,4.78,1.74
장원준,22, P,-0.09,27,0,27,3,0,0,0,1,0,6,17.0,7,8,11.65,78,23,3,0,0,7,1,0,7,0,0,0,3.71,4.24,6.17,6.64,4.21,1.76
강동연,19, P,-0.09,5,0,5,2,0,0,0,0,0,0,5.0,3,3,4.55,22,8,2,0,2,0,0,0,3,0,0,0,5.40,5.40,8.19,8.70,7.07,1.60
김정우,23, P,-0.10,7,0,7,5,0,0,0,0,0,0,6.2,7,7,8.05,38,11,2,0,1,7,0,0,6,0,0,0,9.45,9.45,10.87,11.74,6.64,2.70
미란다,22, P,-0.11,3,3,0,0,0,0,0,0,0,0,7.2,7,7,7.00,43,2,2,0,0,18,1,0,8,0,0,1,8.22,8.22,8.22,9.21,8.86,2.61
이형범,21, P,-0.11,4,0,4,2,0,0,0,0,0,0,2.2,0,2,3.35,16,2,0,0,0,5,1,0,2,1,0,0,0.00,6.75,11.31,11.29,8.87,2.63
김지용,22, P,-0.11,18,0,18,9,0,0,1,0,0,0,19.1,13,14,13.30,82,19,3,0,5,5,1,0,13,2,0,1,6.05,6.52,6.19,6.47,6.14,1.24
문대원,20, P,-0.11,4,0,4,2,0,0,0,0,0,0,5.2,6,9,9.85,30,12,3,0,2,2,0,0,0,1,0,0,9.53,14.29,15.64,14.94,9.29,2.47
고봉재,23, P,-0.11,10,0,10,5,0,0,0,0,0,0,11.1,8,8,9.55,53,12,2,1,0,7,1,0,7,1,0,0,6.35,6.35,7.58,7.96,4.49,1.68
이용찬,20, P,-0.13,5,5,0,0,0,0,1,3,0,0,26.2,25,25,24.15,125,41,8,0,7,6,0,0,15,0,0,1,8.44,8.44,8.15,8.36,6.41,1.76
이교훈,21, P,-0.13,11,0,11,4,0,0,0,0,0,0,8.1,10,10,10.55,43,13,3,0,2,3,1,0,8,1,0,0,10.80,10.80,11.39,12.43,5.71,1.92
현도훈,21, P,-0.15,5,2,3,0,0,0,0,0,0,0,8.2,12,12,10.30,46,9,1,0,1,13,0,0,9,0,0,1,12.46,12.46,10.70,11.24,7.19,2.54
김유성,23, P,-0.15,7,0,7,5,0,0,0,0,0,0,6.1,7,7,8.20,38,6,0,0,2,12,0,0,6,1,0,3,9.95,9.95,11.65,12.48,11.11,2.84
장원준,21, P,-0.16,32,0,32,2,0,0,0,1,1,4,18.2,14,15,14.25,95,20,3,0,1,18,2,0,8,1,0,1,6.75,7.23,6.87,7.66,6.65,2.04
장원준,20, P,-0.18,2,2,0,0,0,0,0,1,0,0,5.2,8,8,8.00,30,9,2,0,1,6,0,0,2,0,0,0,12.71,12.71,12.71,12.67,8.50,2.65
김동주,24, P,-0.19,9,6,3,1,0,0,1,1,0,0,29.2,21,28,25.80,153,43,9,1,1,15,4,0,22,2,0,6,6.37,8.49,7.83,8.10,4.70,1.96
김동주,22, P,-0.20,10,0,10,4,0,0,0,0,0,0,16.2,14,14,14.85,85,23,1,0,5,9,0,0,13,3,0,2,7.56,7.56,8.02,8.81,7.08,1.92
이승진,22, P,-0.24,35,0,35,8,0,0,3,1,0,2,31.1,23,25,22.65,140,35,2,0,5,12,1,0,29,0,1,0,6.61,7.18,6.51,6.93,4.66,1.50
배영수,19, P,-0.26,37,0,37,19,0,0,1,2,0,0,45.1,23,25,28.80,194,50,11,1,4,11,3,2,10,1,1,3,4.57,4.96,5.72,5.93,5.13,1.35
