이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
양창섭,21, P,-0.02,9,0,9,1,0,0,1,1,0,1,15.0,11,11,10.15,73,21,5,0,3,8,0,0,13,2,0,1,6.60,6.60,6.09,5.88,5.63,1.93
정인욱,20, P,-0.02,5,0,5,5,0,0,0,0,0,0,5.1,5,5,5.00,26,5,0,0,1,4,1,0,3,0,0,0,8.44,8.44,8.44,7.62,7.73,1.69
김대우,21, P,-0.03,31,4,27,6,0,0,0,2,0,1,51.0,36,39,37.05,234,68,18,0,7,15,2,1,27,1,0,1,6.35,6.88,6.54,6.27,5.05,1.63
김서준,22, P,-0.04,3,0,3,2,0,0,0,0,0,0,2.2,3,4,4.50,19,6,2,0,1,4,1,0,2,0,0,0,10.13,13.50,15.19,14.78,12.18,3.75
박정준,22, P,-0.06,8,0,8,2,0,0,0,0,0,0,10.0,7,7,8.70,45,10,2,0,2,5,1,0,4,0,0,0,6.30,6.30,7.83,7.66,7.02,1.50
김시현,23, P,-0.06,2,0,2,2,0,0,0,0,0,0,3.0,4,5,5.00,17,6,1,0,2,2,0,0,2,1,0,0,12.00,15.00,15.00,14.11,12.18,2.67
이상민,24, P,-0.06,4,0,4,0,0,0,0,0,0,0,5.0,4,4,4.00,24,7,1,0,0,1,2,0,2,0,0,0,7.20,7.20,7.20,7.75,5.03,1.60
황동재,23, P,-0.07,7,7,0,0,0,0,0,5,0,0,31.2,25,27,25.80,155,40,14,1,6,21,2,0,27,1,0,0,7.11,7.67,7.33,7.06,6.22,1.93
김서준,23, P,-0.07,8,1,7,5,0,0,0,1,0,1,7.2,6,6,5.15,39,9,2,0,0,6,2,0,2,0,0,3,7.04,7.04,6.05,5.80,6.43,1.96
박세웅,21, P,-0.07,4,0,4,1,0,0,0,0,0,0,3.0,3,4,5.05,18,5,0,1,1,3,1,0,2,1,0,0,9.00,12.00,15.15,14.66,10.20,2.67
홍정우,20, P,-0.07,30,0,30,13,0,0,0,0,0,1,30.0,22,23,25.40,139,37,4,1,5,12,1,0,29,2,0,1,6.60,6.90,7.62,6.98,4.91,1.63
육선엽,24, P,-0.08,3,0,3,2,0,0,0,0,0,0,4.2,4,5,6.55,28,9,2,0,2,5,0,0,3,1,0,0,7.71,9.64,12.63,12.67,10.98,3.00
김윤수,21, P,-0.08,20,1,19,5,0,0,0,0,0,1,19.0,14,18,17.45,101,25,5,0,2,17,1,0,25,2,0,4,6.63,8.53,8.27,7.62,4.67,2.21
장지훈,19, P,-0.09,13,0,13,6,0,0,0,0,0,0,14.1,10,11,13.40,77,22,4,1,0,11,1,0,12,1,0,0,6.28,6.91,8.41,8.04,4.31,2.30
홍정우,19, P,-0.09,7,0,7,4,0,0,0,0,0,0,5.1,6,8,8.00,34,10,2,1,2,4,1,0,2,3,0,0,10.13,13.50,13.50,12.43,10.24,2.63
최충연,23, P,-0.09,7,0,7,3,0,0,0,0,0,0,9.1,5,8,9.05,47,10,1,0,3,7,3,0,8,1,1,0,4.82,7.71,8.73,8.31,8.85,1.82
최성훈,24, P,-0.10,20,0,20,0,0,0,0,0,0,1,10.0,9,9,7.95,49,11,0,0,1,8,1,1,9,0,0,1,8.10,8.10,7.16,6.93,5.59,1.90
구준범,21, P,-0.10,1,1,0,0,0,0,0,0,0,0,2.0,5,5,5.00,12,2,0,0,2,3,1,0,1,0,0,0,22.50,22.50,22.50,21.22,20.62,2.50
황동재,20, P,-0.10,1,0,1,0,0,0,0,0,0,0,1.1,8,8,7.65,16,8,2,0,1,4,0,0,3,0,0,0,54.00,54.00,51.64,45.74,16.60,9.00
이재익,24, P,-0.10,3,0,3,0,0,0,0,0,0,0,2.2,8,8,8.00,20,13,3,0,1,1,0,0,0,0,0,0,27.00,27.00,27.00,29.07,9.79,5.25
양창섭,22, P,-0.10,6,6,0,0,0,0,2,3,0,0,20.1,19,19,17.45,96,24,5,1,3,12,1,0,10,0,0,0,8.41,8.41,7.72,7.73,6.29,1.77
이승민,21, P,-0.11,11,11,0,0,0,0,1,4,0,0,35.2,34,34,30.90,173,50,6,1,6,18,3,0,22,1,0,0,8.58,8.58,7.80,7.45,6.05,1.91
임대한,22, P,-0.11,12,0,12,0,0,0,2,1,0,1,13.2,8,11,10.15,65,12,5,0,1,9,1,2,8,3,0,1,5.27,7.24,6.68,6.39,5.01,1.54
최지광,23, P,-0.12,22,0,22,4,0,0,2,0,0,1,17.1,10,10,13.75,82,17,2,0,4,9,1,0,18,1,0,0,5.19,5.19,7.14,6.69,5.79,1.50
김승현,19, P,-0.13,14,0,14,2,0,0,1,1,0,0,12.2,9,12,11.35,61,11,2,0,0,9,1,0,4,3,0,1,6.39,8.53,8.06,7.14,5.47,1.58
허윤동,21, P,-0.14,1,1,0,0,0,0,0,1,0,0,3.2,5,6,6.00,22,8,2,0,1,1,1,0,3,1,0,0,12.27,14.73,14.73,15.59,6.66,2.45
김승현,22, P,-0.14,6,0,6,1,0,0,0,1,0,2,4.0,5,7,6.50,24,6,1,0,2,4,0,0,5,1,0,1,11.25,15.75,14.63,13.89,9.71,2.50
이호성,24, P,-0.15,11,9,2,0,0,0,1,4,0,0,33.0,28,29,28.50,162,49,10,1,7,16,2,0,23,0,0,3,7.64,7.91,7.77,7.46,6.64,1.97
허윤동,23, P,-0.15,7,1,6,3,0,0,0,1,0,0,10.2,12,12,12.70,60,16,7,0,0,12,0,0,8,1,0,0,10.13,10.13,10.72,10.64,5.46,2.63
이승현,21, P,-0.16,21,0,21,3,0,0,1,1,0,1,17.0,18,18,16.10,86,30,5,1,6,8,0,0,7,0,0,1,9.53,9.53,8.52,8.42,8.40,2.24
노건우,23, P,-0.18,16,0,16,1,0,0,0,1,0,1,12.1,10,11,12.65,65,22,3,0,3,5,1,0,12,1,0,1,7.30,8.03,9.23,9.12,5.82,2.19
심창민,20, P,-0.18,23,0,23,4,0,0,2,2,0,3,20.1,17,20,16.95,98,18,0,1,3,18,2,0,21,0,0,3,7.52,8.85,7.50,6.75,6.22,1.77
이상민,23, P,-0.20,23,0,23,4,0,0,2,1,0,1,18.0,17,17,15.30,83,32,3,1,2,3,0,0,17,0,0,0,8.50,8.50,7.65,7.29,3.33,1.94
황동재,22, P,-0.21,16,13,3,2,0,0,1,3,0,0,66.1,52,58,57.50,312,91,20,2,9,31,0,0,53,3,1,1,7.06,7.87,7.80,7.41,4.85,1.84
장필준,23, P,-0.26,17,3,14,5,0,0,1,1,0,1,19.1,17,17,18.20,96,28,5,3,2,12,2,0,11,0,0,0,7.91,7.91,8.47,8.25,5.90,2.07
권오준,20, P,-0.29,17,0,17,3,0,0,0,2,0,1,16.0,15,18,19.20,72,22,3,1,3,3,0,0,10,1,0,0,8.44,10.13,10.80,10.02,5.25,1.56
최하늘,23, P,-0.32,3,2,1,1,0,0,0,2,0,0,6.1,14,14,14.35,40,14,6,0,2,5,2,0,3,0,0,0,19.89,19.89,20.39,20.69,9.85,3.00
홍정우,23, P,-0.33,36,1,35,5,0,0,2,3,0,3,36.0,30,31,27.70,166,36,3,1,5,21,3,2,22,4,0,2,7.50,7.75,6.93,6.69,5.95,1.58
이승민,24, P,-0.42,18,3,15,6,0,0,1,2,0,0,27.2,26,27,27.35,137,37,4,1,8,16,2,0,18,4,0,0,8.46,8.78,8.90,8.76,8.00,1.92
양창섭,23, P,-0.42,15,4,11,1,0,0,0,3,0,2,28.2,29,29,27.80,141,45,5,1,7,16,1,1,12,0,0,2,9.10,9.10,8.73,8.54,7.55,2.13
장지훈,20, P,-0.46,29,0,29,9,0,0,0,1,0,0,27.2,31,37,35.80,146,39,4,0,7,21,3,0,24,3,0,5,10.08,12.04,11.65,10.53,7.53,2.17
장필준,21, P,-0.48,41,0,41,10,0,0,0,0,0,2,34.2,28,30,34.10,174,46,8,1,4,27,1,1,24,0,0,4,7.27,7.79,8.85,8.41,5.82,2.11
김태훈,23, P,-0.54,63,0,63,16,0,0,5,7,3,8,55.2,45,48,42.20,268,65,17,1,7,37,3,3,36,2,0,1,7.28,7.76,6.82,6.58,5.90,1.83
최충연,19, P,-0.63,34,2,32,6,0,0,0,2,1,4,36.2,30,36,36.15,194,44,15,1,2,38,3,1,41,2,0,6,7.36,8.84,8.87,8.13,5.05,2.24
