이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
배성근,21, SS,-0.51,-0.08,-0.43,78,109,107,93,21,19,4,0,1,26,9,1,0,14,0,0,36,1,2,0,0.204,0.308,0.280,0.588,-0.066,51.0
배성근,22, 2B,-0.52,-0.48,-0.05,22,41,41,39,3,5,1,0,0,6,0,0,0,2,0,0,12,3,0,0,0.128,0.171,0.154,0.325,-0.162,-35.7
강로한,19, 2B,-0.56,0.15,-0.71,104,306,305,288,38,69,15,6,4,108,25,7,1,13,3,0,107,3,1,1,0.240,0.279,0.375,0.654,-0.045,65.8
최민재,21, LF,-0.60,-0.40,-0.20,21,27,27,25,2,2,1,0,0,3,2,2,0,2,0,0,8,1,0,0,0.080,0.148,0.120,0.268,-0.201,-59.9
한동희,24, DH,-0.60,-0.29,-0.31,14,36,36,35,1,9,2,0,0,11,3,0,0,1,0,1,9,1,0,0,0.257,0.278,0.314,0.592,-0.084,34.3
배성근,19, 2B,-0.60,-0.12,-0.48,36,48,48,44,4,9,1,0,0,10,2,1,0,4,0,0,13,0,0,0,0.205,0.271,0.227,0.498,-0.078,38.0
이학주,22, SS,-0.61,-0.33,-0.28,91,260,251,232,29,48,11,1,3,70,15,2,4,16,2,0,54,3,9,1,0.207,0.263,0.302,0.565,-0.062,51.9
조세진,22, RF,-0.61,-0.46,-0.16,39,88,87,86,6,16,3,0,0,19,6,0,1,1,0,0,25,4,1,0,0.186,0.195,0.221,0.416,-0.096,21.5
신용수,21, RF,-0.64,0.24,-0.88,71,136,134,119,23,31,5,2,1,43,6,3,1,11,3,0,20,2,2,1,0.261,0.336,0.361,0.697,-0.033,76.9
노진혁,24, SS,-0.68,-0.63,-0.04,27,68,68,59,4,9,2,0,0,11,4,0,0,6,1,0,17,1,0,2,0.153,0.235,0.186,0.421,-0.116,9.8
허일,20, CF,-0.69,-0.50,-0.19,60,95,93,84,5,15,4,0,1,22,6,0,0,8,1,0,29,4,2,0,0.179,0.258,0.262,0.520,-0.103,26.2
민병헌,21, CF,-0.69,-0.13,-0.56,14,49,48,42,5,8,3,0,0,11,2,0,1,6,0,0,11,2,1,0,0.190,0.292,0.262,0.554,-0.063,53.1
전병우,19, 1B,-0.71,-0.92,0.21,29,55,54,51,2,5,1,0,0,6,0,0,0,3,0,0,22,0,1,0,0.098,0.148,0.118,0.266,-0.183,-49.1
김준태,19, C,-0.89,-0.30,-0.60,43,104,102,88,10,14,3,0,0,17,8,0,0,12,2,0,23,1,2,0,0.159,0.275,0.193,0.468,-0.077,40.0
오윤석,19, 1B,-0.93,-0.33,-0.60,76,228,224,198,21,44,2,0,1,49,21,0,0,20,2,1,43,4,4,4,0.222,0.295,0.247,0.542,-0.063,51.2
한동희,19, 3B,-1.12,-0.54,-0.58,59,207,207,187,12,38,9,0,2,53,9,1,0,18,0,0,57,3,0,2,0.203,0.271,0.283,0.554,-0.072,42.9
민병헌,20, CF,-1.35,-0.48,-0.87,109,342,336,309,42,72,12,0,2,90,23,10,6,21,5,1,62,12,5,2,0.233,0.291,0.291,0.582,-0.063,55.3
정보근,20, C,-1.47,-1.32,-0.15,85,152,146,133,9,20,2,0,0,22,5,0,0,11,1,0,32,7,6,1,0.150,0.219,0.165,0.384,-0.149,-6.0
나종덕,19, C,-1.59,-1.89,0.30,104,209,202,185,12,23,4,0,3,36,13,0,0,9,6,0,88,5,7,2,0.124,0.188,0.195,0.383,-0.140,-11.3
한동희,23, 3B,-2.48,-0.55,-1.93,108,353,351,319,30,71,11,0,5,97,32,1,3,26,1,0,58,16,2,5,0.223,0.279,0.304,0.583,-0.060,53.6
