이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
박세진,24, P,0.02,3,0,3,1,0,0,0,0,0,0,2.2,0,0,1.70,10,3,0,0,0,2,0,0,0,0,0,0,0.00,0.00,5.74,6.18,6.49,1.88
이창재,20, P,0.02,10,0,10,2,0,0,0,0,0,1,8.0,5,6,5.00,38,10,3,0,0,4,0,0,7,1,0,0,5.63,6.75,5.63,6.00,3.36,1.75
조한욱,19, P,0.01,2,0,2,2,0,0,0,0,0,0,2.2,1,1,1.35,12,4,0,0,0,1,0,0,0,0,0,0,3.38,3.38,4.56,5.24,4.97,1.88
조현우,23, P,0.01,5,0,5,1,0,0,0,0,0,0,3.0,2,2,2.00,17,6,1,0,0,2,0,0,1,0,0,1,6.00,6.00,6.00,5.69,5.08,2.67
이선우,19, P,0.00,3,0,3,1,0,0,0,0,0,0,1.2,1,1,1.00,7,1,0,0,1,1,0,0,2,0,0,0,5.40,5.40,5.40,5.37,9.81,1.20
이선우,23, P,0.00,22,4,18,8,0,0,0,2,0,0,37.1,18,20,21.75,169,47,6,0,5,9,4,0,24,2,0,0,4.34,4.82,5.24,5.00,4.92,1.50
하준호,23, P,0.00,12,0,12,5,0,0,0,1,0,0,13.0,6,9,9.00,65,14,1,0,0,10,5,2,6,1,0,4,4.15,6.23,6.23,6.01,6.27,1.85
이상우,22, P,0.00,2,0,2,0,0,0,0,0,0,0,3.1,1,1,2.55,14,3,1,0,0,2,0,0,1,0,0,0,2.70,2.70,6.89,6.35,4.89,1.50
박세진,23, P,-0.01,16,0,16,3,0,0,0,1,0,1,11.2,5,8,7.65,66,15,2,0,1,14,0,0,10,3,0,2,3.86,6.17,5.90,5.52,6.45,2.49
김정운,23, P,-0.01,5,0,5,4,0,0,0,0,0,0,7.0,3,4,5.20,35,6,2,0,0,6,2,0,3,1,0,0,3.86,5.14,6.69,6.13,6.32,1.71
김태오,22, P,-0.02,5,0,5,1,0,0,0,0,0,0,4.1,2,2,3.90,22,9,0,0,0,0,0,0,5,0,0,0,4.15,4.15,8.10,7.47,0.90,2.08
이채호,24, P,-0.02,6,0,6,1,0,0,0,0,0,0,3.2,4,4,2.80,22,7,0,0,0,3,1,0,2,0,0,0,9.82,9.82,6.87,7.20,6.19,2.73
유원상,21, P,-0.03,11,0,11,2,0,0,1,1,0,1,13.1,9,10,9.15,62,15,2,0,0,7,0,0,13,0,0,3,6.08,6.75,6.18,5.92,2.96,1.65
이창재,22, P,-0.03,4,0,4,1,0,0,0,1,0,0,1.1,5,5,3.45,12,5,1,0,0,2,1,0,2,0,0,0,33.75,33.75,23.29,21.47,7.01,5.25
원상현,24, P,-0.04,11,10,1,0,0,0,2,5,0,0,43.2,39,41,37.75,215,72,13,2,5,20,2,0,36,0,1,5,8.04,8.45,7.78,7.87,5.03,2.11
이강준,21, P,-0.04,4,0,4,1,0,0,1,0,0,0,2.2,4,4,4.35,14,4,0,0,0,3,1,0,0,0,0,0,13.50,13.50,14.68,13.92,8.42,2.63
이대은,20, P,-0.05,20,4,16,10,0,0,0,4,1,0,29.1,19,23,21.80,142,36,6,0,4,13,5,3,15,5,0,8,5.83,7.06,6.69,6.50,5.92,1.67
이선우,20, P,-0.05,2,0,2,1,0,0,0,0,0,0,2.0,3,3,4.20,13,6,1,0,1,1,0,0,1,0,0,0,13.50,13.50,18.90,18.41,10.25,3.50
김영현,24, P,-0.06,3,0,3,0,0,0,0,0,0,0,3.1,3,5,5.35,20,6,2,0,0,3,1,0,2,1,0,0,8.10,13.50,14.44,13.48,6.39,2.70
금민철,20, P,-0.06,3,0,3,1,0,0,0,0,0,0,2.1,4,4,4.70,15,6,1,0,0,1,2,0,2,0,0,0,15.43,15.43,18.13,17.66,5.84,3.00
하준호,21, P,-0.07,10,0,10,2,0,0,0,0,0,0,12.0,9,10,10.70,56,16,1,1,2,6,0,0,10,1,0,1,6.75,7.50,8.02,7.81,5.22,1.83
이상동,20, P,-0.08,5,0,5,4,0,0,0,0,0,0,6.0,6,6,7.20,30,11,5,0,0,3,0,0,3,0,0,1,9.00,9.00,10.80,9.99,4.30,2.33
심재민,23, P,-0.08,4,0,4,1,0,0,0,0,0,0,2.0,5,5,3.40,16,8,1,0,0,2,0,0,1,0,0,0,22.50,22.50,15.30,14.03,5.70,5.00
전용주,19, P,-0.08,4,0,4,1,0,0,0,0,0,0,3.0,5,6,6.70,21,6,1,0,1,6,0,0,1,1,0,1,15.00,18.00,20.10,18.98,13.14,4.00
한차현,21, P,-0.08,3,0,3,2,0,0,0,0,0,0,3.2,8,8,8.00,23,10,0,0,3,2,0,0,3,0,0,0,19.64,19.64,19.64,18.61,13.15,3.27
이강준,20, P,-0.08,4,0,4,1,0,0,0,0,0,0,5.2,4,4,6.75,33,9,1,1,1,5,3,0,3,0,0,0,6.35,6.35,10.72,10.77,9.15,2.47
이정현,21, P,-0.09,2,1,1,1,0,0,0,1,0,0,8.2,9,9,9.00,38,12,3,0,3,5,0,0,1,0,0,0,9.35,9.35,9.35,8.87,9.39,1.96
전용주,24, P,-0.10,4,0,4,0,0,0,0,0,0,0,1.2,2,3,3.15,11,2,0,0,0,3,1,0,4,0,0,0,10.80,16.20,17.01,16.98,5.61,3.00
김태오,19, P,-0.10,4,0,4,0,0,0,0,0,0,0,3.0,2,3,4.75,21,7,0,0,0,3,1,0,0,1,1,0,6.00,9.00,14.25,14.28,7.94,3.33
조병욱,20, P,-0.10,9,4,5,5,0,0,0,1,0,0,28.1,24,24,23.85,131,39,4,0,4,13,1,0,11,0,0,0,7.62,7.62,7.58,7.63,6.24,1.84
