이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
심우준,19, 3B,0.185,11,1,32.1,15,1,13,1,93.3,3.90,2.02,,0.03,-0.27,0.12,,,,1.90,1.98,0.00,1.90,0.185
김진곤,19, LF,0.181,7,2,27.1,8,8,0,0,100.0,2.63,1.65,0.27,0.03,,,,,,1.95,14.76,-0.10,1.85,0.191
송민섭,20, CF,0.175,17,1,38.0,18,16,2,0,100.0,4.26,0.89,1.06,0.04,,,,,,1.99,2.51,0.00,1.99,0.175
홍현빈,23, RF,0.170,8,4,32.1,9,9,0,0,100.0,2.51,1.97,-0.17,0.06,,,,,,1.87,6.11,-0.11,1.76,0.181
고명성,19, SS,0.169,13,1,35.2,22,3,18,1,95.5,5.30,1.03,,0.05,0.46,,,,,1.55,7.43,0.18,1.73,0.152
송민섭,19, CF,0.167,21,2,39.1,17,17,0,0,100.0,3.89,2.04,-0.38,0.05,,,,,,1.71,2.35,0.00,1.71,0.167
강민국,20, 2B,0.164,34,19,154.2,98,45,50,3,96.9,5.53,1.55,,-0.37,0.07,,,,,1.25,2.22,0.61,1.86,0.110
홍현빈,21, LF,0.162,23,1,49.2,12,11,1,0,100.0,2.17,1.72,0.02,0.05,,,,,,1.78,5.98,-0.09,1.69,0.171
김병준,24, CF,0.159,16,3,41.0,15,13,2,0,100.0,3.29,1.60,0.01,0.07,,,,,,1.67,9.64,0.00,1.67,0.159
로하스,20, LF,0.149,12,4,44.1,17,15,1,1,94.1,3.25,1.58,0.80,-0.46,,,,,,1.91,1.94,-0.22,1.69,0.169
정준영,23, RF,0.149,11,3,44.0,11,10,1,0,100.0,2.25,1.07,0.56,0.09,,,,,,1.72,7.30,-0.19,1.53,0.167
송민섭,19, RF,0.146,37,1,80.1,22,21,1,0,100.0,2.46,1.69,-0.09,0.14,,,,,,1.73,2.38,-0.24,1.49,0.170
로하스,19, RF,0.143,6,1,20.2,7,7,0,0,100.0,3.05,1.50,0.01,0.04,,,,,,1.54,1.56,-0.08,1.46,0.151
송민섭,22, CF,0.139,11,1,27.1,11,10,1,0,100.0,3.62,1.29,0.09,0.04,,,,,,1.42,1.72,0.00,1.42,0.139
배정대,19, RF,0.137,10,0,15.1,6,6,0,0,100.0,3.52,1.58,-0.16,0.03,,,,,,1.45,3.16,-0.05,1.40,0.142
장준원,24, SS,0.133,10,2,32.0,13,7,6,0,100.0,3.66,1.13,,0.13,,,,,,1.26,15.09,0.14,1.40,0.119
조용호,24, RF,0.130,42,27,252.0,51,50,0,1,98.0,1.79,2.08,0.11,0.29,,,,,,2.47,7.12,-1.10,1.37,0.234
장준원,23, SS,0.129,43,14,167.1,86,32,52,2,97.7,4.52,-1.52,,0.55,1.13,,,,,0.17,0.35,1.16,1.33,0.016
이상호,23, 3B,0.127,11,4,46.1,16,6,10,0,100.0,3.11,0.89,,0.15,-0.23,0.50,,,,1.31,3.00,0.00,1.31,0.127
이상호,23, 2B,0.125,31,6,93.0,39,16,22,1,97.4,3.68,0.66,,0.33,,,,,,0.99,2.26,0.30,1.29,0.096
문상철,24, 1B,0.124,37,36,281.2,275,249,23,3,98.9,8.69,6.18,,-0.86,,-0.91,,,,4.41,11.34,-3.10,1.31,0.418
로하스,20, RF,0.116,104,102,845.2,213,204,6,3,98.6,2.23,5.74,0.44,-0.39,,,,,,5.79,5.87,-4.48,1.31,0.511
