이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
나지완,22, LF,,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.11,,,0.000
최정용,21, P,,1,0,0.1,0,0,0,0,,0.00,,,,,,,,,0.00,0.00,,,0.000
전상현,19, P,,57,0,60.2,7,3,4,0,100.0,1.04,,,,,,,,,0.00,0.00,,,0.000
나주환,20, 2B,,1,0,1.0,0,0,0,0,,0.00,-0.95,,0.00,,,,,,-0.95,-2.14,,,-0.084
황윤호,20, P,,1,0,0.1,0,0,0,0,,0.00,,,,,,,,,0.00,0.00,,,0.000
김선빈,24, SS,,2,0,3.0,3,1,2,0,100.0,9.00,-0.05,,0.01,,,,,,-0.04,-0.11,,,-0.004
최정민,19, RF,,1,0,2.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.12,,,0.000
최지민,24, P,,31,0,26.2,4,1,2,1,75.0,1.01,,,,,,,,,0.00,0.00,,,0.000
장지수,19, P,,13,0,16.1,2,0,1,1,50.0,0.55,,,,,,,,,0.00,0.00,,,0.000
홍종표,23, 3B,,3,0,5.0,3,1,2,0,100.0,5.40,0.08,,0.02,0.33,,,,,0.43,1.56,,,0.042
브룩스,20, P,,23,23,151.1,40,13,25,2,95.0,2.26,,,,,,,,,0.00,,,,0.000
양현종,20, P,,31,31,172.1,23,2,19,2,91.3,1.10,,,,,,,,,0.00,,,,0.000
최정민,21, 3B,,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.00,,,0.000
고영창,19, P,,55,0,54.0,10,1,7,2,80.0,1.33,,,,,,,,,0.00,0.00,,,0.000
박정우,23, CF,,1,0,2.0,1,1,0,0,100.0,4.50,0.54,,0.00,,,,,,0.54,3.70,,,0.052
박준표,23, P,,33,0,28.0,5,0,5,0,100.0,1.61,,,,,,,,,0.00,0.00,,,0.000
윤중현,23, P,,30,0,28.0,5,2,3,0,100.0,1.61,,,,,,,,,0.00,0.00,,,0.000
류승현,22, RF,,1,0,2.0,1,1,0,0,100.0,4.50,0.25,,0.00,,,,,,0.25,12.00,,,0.024
정해영,23, P,,52,0,49.1,11,3,7,1,90.9,1.82,,,,,,,,,0.00,0.00,,,0.000
이의리,21, P,,19,19,94.2,10,3,6,1,90.0,0.86,,,,,,,,,0.00,,,,0.000
