이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
전병우,22, 1B,0.36,0.24,0.12,115,231,222,197,14,40,7,0,5,62,21,0,0,17,7,0,68,5,9,1,0.203,0.288,0.315,0.603,-0.038,71.4
김태진,22, 1B,0.36,0.32,0.05,70,272,269,250,35,68,5,1,0,75,20,1,2,17,1,0,28,4,3,1,0.272,0.320,0.300,0.620,-0.034,74.3
예진원,21, CF,0.35,-0.45,0.80,52,132,129,114,16,18,6,1,1,29,8,0,1,12,2,0,28,2,3,1,0.158,0.248,0.254,0.502,-0.080,40.1
허정협,21, LF,0.32,-0.12,0.44,29,52,52,45,5,7,0,0,0,7,2,0,0,7,0,0,10,1,0,0,0.156,0.269,0.156,0.425,-0.061,53.9
신준우,22, SS,0.27,-0.12,0.39,76,54,52,43,6,6,3,0,0,9,0,0,0,7,2,0,19,0,2,0,0.140,0.288,0.209,0.497,-0.074,41.7
김주형,20, 2B,0.24,0.16,0.08,39,50,49,43,8,10,3,0,1,16,6,0,1,4,2,0,10,0,1,0,0.233,0.327,0.372,0.699,-0.016,90.6
김주형,24, SS,0.22,0.05,0.17,10,6,6,4,0,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0.250,0.500,0.250,0.750,0.044,131.2
변상권,24, LF,0.20,-0.07,0.28,34,97,97,89,5,23,1,0,2,30,11,0,0,7,0,0,22,3,0,1,0.258,0.309,0.337,0.646,-0.038,69.3
박동원,22, C,0.19,0.21,-0.02,11,40,40,33,1,7,3,0,1,13,4,0,0,7,0,0,8,0,0,0,0.212,0.350,0.394,0.744,0.014,115.0
이용규,22, LF,0.19,0.76,-0.58,86,326,325,271,34,54,6,0,0,60,21,12,2,45,7,0,42,7,1,2,0.199,0.326,0.221,0.547,-0.025,81.6
김은성,20, 2B,0.18,0.13,0.05,16,6,6,4,0,2,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0.500,0.667,0.500,1.167,0.191,247.8
임병욱,20, CF,0.17,0.18,-0.01,12,41,41,37,3,10,4,0,0,14,6,3,0,4,0,1,10,1,0,0,0.270,0.341,0.378,0.719,-0.022,85.8
김휘집,24, SS,0.16,0.04,0.12,51,196,193,174,24,40,9,1,5,66,25,0,0,15,3,1,49,9,2,2,0.230,0.299,0.379,0.678,-0.032,74.0
