이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
도슨,23, LF,0.055,22,19,159.2,47,45,0,2,95.7,2.54,2.12,-0.04,-0.69,,,,,,1.39,3.51,-0.82,0.57,0.134
주성원,24, LF,0.052,2,2,16.0,5,5,0,0,100.0,2.81,0.45,0.17,0.02,,,,,,0.64,4.60,-0.09,0.55,0.061
예진원,19, LF,0.051,1,1,9.0,3,3,0,0,100.0,3.00,0.43,0.11,0.01,,,,,,0.56,40.16,-0.04,0.52,0.055
임지열,21, LF,0.050,10,7,53.0,11,10,1,0,100.0,1.87,-0.60,1.30,0.05,,,,,,0.75,5.70,-0.23,0.52,0.072
이명기,21, 1B,0.049,2,2,12.0,15,13,2,0,100.0,11.25,0.64,,0.01,,,,,,0.65,31.19,-0.14,0.51,0.062
박성빈,24, C,0.045,6,4,27.0,17,16,1,0,100.0,5.67,0.00,,0.10,,,-0.29,0.48,,0.28,6.82,0.19,0.48,0.027
김혜성,22, SS,0.044,3,0,5.2,2,2,0,0,100.0,3.18,0.40,,0.01,,,,,,0.41,0.46,0.04,0.45,0.040
김혜성,20, LF,0.044,44,32,291.2,63,60,3,0,100.0,1.94,0.98,0.56,0.38,,,,,,1.91,1.94,-1.42,0.49,0.169
이주형,24, CF,0.041,6,5,42.0,13,13,0,0,100.0,2.79,0.54,-0.18,0.07,,,,,,0.43,1.92,0.00,0.43,0.041
김휘집,24, 3B,0.036,9,6,53.0,11,2,9,0,100.0,1.87,-0.06,,0.20,0.24,,,,,0.38,0.91,0.00,0.38,0.036
이재홍,22, 3B,0.035,1,1,5.0,1,0,1,0,100.0,1.80,0.35,,0.00,,,,,,0.35,12.73,0.00,0.35,0.035
김은성,19, 3B,0.034,1,0,6.0,2,0,2,0,100.0,3.00,0.34,,0.01,,,,,,0.35,10.08,0.00,0.35,0.034
박준태,21, LF,0.033,5,3,20.0,8,8,0,0,100.0,3.60,0.28,0.12,0.02,,,,,,0.41,2.19,-0.07,0.34,0.039
김병휘,23, SS,0.032,3,0,11.0,8,4,3,1,87.5,5.73,0.93,,-0.46,-0.20,,,,,0.27,3.88,0.06,0.33,0.026
이용규,24, RF,0.032,9,7,65.0,21,20,0,1,95.2,2.77,0.98,-0.04,-0.29,,,,,,0.64,2.90,-0.31,0.33,0.061
임지열,22, LF,0.031,22,18,155.0,41,39,2,0,100.0,2.38,0.69,0.19,0.23,,,,,,1.11,4.01,-0.80,0.31,0.109
주성원,24, RF,0.030,14,9,76.0,28,25,1,2,92.9,3.08,0.93,0.47,-0.76,,,,,,0.65,4.67,-0.33,0.32,0.061
박주홍,21, 1B,0.030,1,1,7.0,11,11,0,0,100.0,14.14,0.38,,0.01,,,,,,0.39,2.44,-0.08,0.31,0.037
이용규,22, CF,0.029,2,1,16.0,6,6,0,0,100.0,3.38,0.15,0.13,0.02,,,,,,0.30,0.50,0.00,0.30,0.029
박정음,21, RF,0.029,11,0,15.2,4,4,0,0,100.0,2.30,0.17,0.14,0.02,,,,,,0.34,0.69,-0.03,0.31,0.032
이병규,23, 1B,0.028,4,3,24.0,23,22,1,0,100.0,8.63,0.45,,0.05,,,,,,0.51,10.39,-0.22,0.29,0.049
임병욱,20, CF,0.021,12,12,91.0,23,20,2,1,95.7,2.18,-0.13,0.27,0.10,,,,,,0.23,2.79,0.00,0.23,0.021
이택근,20, LF,0.017,9,8,54.0,10,10,0,0,100.0,1.67,0.49,-0.06,0.07,,,,,,0.50,3.60,-0.31,0.19,0.044
김준완,23, CF,0.016,5,1,16.0,7,7,0,0,100.0,3.94,-0.27,0.41,0.02,,,,,,0.17,0.32,0.00,0.17,0.016
전병우,20, 2B,0.015,9,5,51.0,35,16,19,0,100.0,6.18,-0.24,,0.05,0.12,,,,,-0.08,-0.10,0.25,0.17,-0.007
예진원,22, LF,0.015,10,1,21.0,6,6,0,0,100.0,2.57,0.09,0.08,0.03,,,,,,0.21,1.51,-0.06,0.15,0.020
김휘집,22, 3B,0.014,5,0,10.0,6,2,3,1,83.3,4.50,-0.44,,0.01,0.58,,,,,0.15,0.19,0.00,0.15,0.014
허정협,21, RF,0.013,2,0,8.0,1,1,0,0,100.0,1.13,0.01,0.14,0.01,,,,,,0.16,0.80,-0.03,0.13,0.015
박준태,22, RF,0.011,25,7,102.2,19,19,0,0,100.0,1.67,0.04,0.30,0.18,,,,,,0.52,1.45,-0.41,0.11,0.051
이재홍,22, 2B,0.009,2,1,6.0,4,2,2,0,100.0,6.00,0.07,,0.01,,,,,,0.08,2.93,0.01,0.09,0.008
이병규,22, CF,0.009,1,0,1.0,1,1,0,0,100.0,9.00,0.07,0.02,0.00,,,,,,0.09,0.53,0.00,0.09,0.009
김태진,24, 2B,0.008,3,1,13.0,9,3,5,1,88.9,5.54,-0.28,,0.05,0.26,,,,,0.02,0.21,0.06,0.08,0.002
이용규,24, CF,0.007,10,7,60.0,15,15,0,0,100.0,2.25,-0.25,0.21,0.10,,,,,,0.07,0.31,0.00,0.07,0.007
이병규,22, 1B,0.006,6,5,35.0,37,32,4,1,97.3,9.26,0.38,,0.03,,,,,,0.41,2.44,-0.34,0.07,0.040
박동원,22, C,0.004,7,6,48.0,42,38,3,1,97.6,7.69,-0.03,,-0.34,,0.09,0.00,0.85,-1.08,-0.51,-0.60,0.55,0.04,-0.050
김은성,20, 2B,0.003,6,1,10.0,9,3,6,0,100.0,8.10,-0.01,,0.01,,,,,,0.00,-0.04,0.04,0.04,0.000
임병욱,24, RF,0.003,2,0,5.0,1,1,0,0,100.0,1.80,0.03,,0.02,,,,,,0.05,0.47,-0.02,0.03,0.005
송성문,19, 1B,0.001,5,0,6.0,4,4,0,0,100.0,6.00,0.02,,0.01,,,,,,0.03,0.04,-0.02,0.01,0.003
강민국,22, 2B,0.001,1,0,2.0,1,1,0,0,100.0,4.50,-0.01,,0.00,,,,,,0.00,-0.18,0.01,0.01,0.000
박주홍,23, CF,0.000,1,0,0.2,0,0,0,0,,0.00,-0.01,,0.00,,,,,,-0.01,-0.03,0.00,-0.01,0.000
전병우,22, 1B,-0.001,102,40,512.0,572,530,37,5,99.1,9.97,3.82,,0.39,,-0.05,,,,4.15,5.20,-4.16,-0.01,0.405
모터,20, 1B,-0.002,1,0,1.0,0,0,0,0,,0.00,,,0.00,,,,,,0.00,0.01,-0.02,-0.02,0.000
문찬종,20, SS,-0.002,1,0,1.0,0,0,0,0,,0.00,-0.04,,0.00,,,,,,-0.04,-1.14,0.02,-0.02,-0.004
김병휘,21, 2B,-0.002,5,2,24.0,13,5,7,1,92.3,4.50,-0.16,,0.03,,,,,,-0.13,-1.42,0.11,-0.02,-0.012
이용규,22, RF,-0.003,4,0,7.0,0,0,0,0,,0.00,0.00,,0.01,,,,,,0.01,0.02,-0.04,-0.03,0.001
송지후,24, 2B,-0.005,1,0,3.0,0,0,0,0,,0.00,-0.07,,0.01,,,,,,-0.06,-4.37,0.01,-0.05,-0.006
예진원,22, RF,-0.008,3,0,5.0,0,0,0,0,,0.00,-0.07,,0.01,,,,,,-0.06,-0.41,-0.02,-0.08,-0.006
김수환,20, 1B,-0.008,6,1,21.0,25,23,2,0,100.0,10.71,0.03,,0.02,,,,,,0.05,0.85,-0.14,-0.09,0.005
김웅빈,19, 2B,-0.008,1,1,7.0,5,3,2,0,100.0,6.43,-0.12,,0.01,,,,,,-0.11,-3.91,0.03,-0.08,-0.011
김주형,20, 2B,-0.010,10,1,29.0,19,7,11,1,94.7,5.59,-0.48,,0.03,0.22,,,,,-0.23,-0.84,0.11,-0.12,-0.020
