Game Date,Away Team,Away Lineup,Home Team,Home Lineup,Away Score,Home Score
20190806,두산,"박건우, 정수빈, 오재일, 김재환, 페르난데스, 최주환, 허경민, 박세혁, 김재호, 린드블럼",한화,"정은원, 정근우, 호잉, 김태균, 이성열, 송광민, 장진혁, 최재훈, 오선진, 임준섭",3 , 8
20190806,SK,"노수광, 한동민, 최정, 로맥, 고종욱, 정의윤, 나주환, 김성현, 허도환, 박종훈",KT,"김진곤, 오태곤, 조용호, 유한준, 로하스, 박경수, 박승욱, 장성우, 심우준, 알칸타라",3 , 0
20190806,KIA,"박찬호, 김선빈, 터커, 최형우, 안치홍, 김주찬, 이우성, 이창진, 김민식, 윌랜드",LG,"이천웅, 오지환, 김현수, 페게로, 채은성, 박용택, 김민성, 유강남, 정주현, 차우찬",17 , 4
20190807,두산,"허경민, 정수빈, 박건우, 오재일, 페르난데스, 김재호, 박세혁, 신성현, 오재원, 이용찬",한화,"정은원, 강경학, 호잉, 김태균, 이성열, 송광민, 장진혁, 최재훈, 오선진, 채드벨",7 , 5
20190807,SK,"노수광, 한동민, 최정, 로맥, 고종욱, 이재원, 정의윤, 나주환, 김성현, 문승원",KT,"김진곤, 오태곤, 조용호, 유한준, 로하스, 박경수, 박승욱, 장성우, 강민국, 김민",2 , 5
20190807,KIA,"박찬호, 김선빈, 터커, 최형우, 유민상, 안치홍, 김주찬, 김민식, 이창진, 김기훈",LG,"이천웅, 이형종, 김현수, 페게로, 채은성, 김민성, 오지환, 이성우, 정주현, 류제국",5 , 10
20190807,롯데,"민병헌, 손아섭, 전준우, 이대호, 채태인, 윌슨, 고승민, 안중열, 강로한, 다익손",키움,"서건창, 김하성, 이정후, 박병호, 샌즈, 송성문, 임병욱, 김혜성, 박동원, 김선기",16 , 4
20190807,NC,"박민우, 이명기, 스몰린스키, 박석민, 모창민, 권희동, 노진혁, 김찬형, 김형준, 이재학",삼성,"김상수, 박해민, 러프, 이원석, 윌리엄슨, 김헌곤, 김동엽, 강민호, 이학주, 백정현",1 , 2
20190808,두산,"박건우, 정수빈, 오재일, 김재환, 페르난데스, 최주환, 허경민, 박세혁, 김재호, 후랭코프",KT,"조용호, 오태곤, 강백호, 유한준, 로하스, 박승욱, 윤석민, 장성우, 심우준, 배제성",2 , 7
20190808,키움,"서건창, 김하성, 이정후, 박병호, 샌즈, 송성문, 임병욱, 김혜성, 이지영, 브리검",SK,"노수광, 한동민, 최정, 로맥, 고종욱, 이재원, 정의윤, 나주환, 김성현, 김광현",6 , 1
20190808,삼성,"김상수, 박해민, 러프, 이원석, 윌리엄슨, 이학주, 김동엽, 강민호, 김헌곤, 최채흥",롯데,"정훈, 손아섭, 전준우, 이대호, 윌슨, 민병헌, 김동한, 안중열, 강로한, 서준원",8 , 0
20190808,KIA,"박찬호, 김선빈, 터커, 최형우, 유민상, 안치홍, 김주찬, 김민식, 이창진, 터너",한화,"정은원, 장진혁, 호잉, 이성열, 정근우, 송광민, 최재훈, 김민하, 오선진, 김이환",2 , 5
20190808,NC,"박민우, 이명기, 스몰린스키, 박석민, 모창민, 권희동, 김찬형, 김성욱, 정범모, 루친스키",LG,"이천웅, 오지환, 김현수, 페게로, 채은성, 이형종, 김민성, 유강남, 정주현, 이우찬",2 , 13
20190809,두산,"박건우, 정수빈, 오재일, 김재환, 페르난데스, 허경민, 박세혁, 류지혁, 오재원, 유희관",KT,"조용호, 오태곤, 강백호, 유한준, 로하스, 박경수, 윤석민, 안승한, 심우준, 쿠에바스",1 , 3
20190809,키움,"서건창, 김하성, 이정후, 박병호, 샌즈, 송성문, 박동원, 임병욱, 김혜성, 최원태",SK,"노수광, 한동민, 최정, 로맥, 고종욱, 이재원, 정의윤, 최항, 김성현, 소사",4 , 5
20190809,삼성,"김상수, 박해민, 러프, 이원석, 윌리엄슨, 김헌곤, 공민규, 강민호, 박계범, 원태인",롯데,"고승민, 손아섭, 전준우, 이대호, 윌슨, 민병헌, 채태인, 안중열, 강로한, 박세웅",6 , 3
20190809,KIA,"박찬호, 김선빈, 터커, 최형우, 유민상, 안치홍, 이우성, 김민식, 이창진, 임기영",한화,"정은원, 장진혁, 호잉, 이성열, 김태균, 송광민, 강경학, 지성준, 오선진, 장민재",4 , 10
20190809,NC,"이명기, 김태진, 박민우, 스몰린스키, 박석민, 모창민, 김찬형, 김성욱, 김형준, 최성영",LG,"이천웅, 오지환, 이형종, 김현수, 유강남, 페게로, 김민성, 양종민, 정주현, 임찬규",5 , 2
20190810,LG,"이천웅, 김용의, 이형종, 김현수, 유강남, 페게로, 김민성, 윤진호, 정주현, 켈리",SK,"노수광, 한동민, 최정, 로맥, 고종욱, 이재원, 정의윤, 최항, 김성현, 산체스",2 , 0
