이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
윤산흠,21, P,-0.03,5,0,5,1,0,0,0,0,0,0,3.0,2,2,2.85,19,7,0,0,0,2,2,0,2,0,0,0,6.00,6.00,8.55,8.42,6.23,3.00
이태양,20, P,-0.03,7,0,7,1,0,0,0,0,0,0,8.2,7,7,8.05,39,11,2,1,1,5,0,1,8,0,0,1,7.27,7.27,8.36,8.25,4.85,1.85
배민서,24, P,-0.03,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.00,11,4,1,0,0,3,0,0,1,0,0,0,16.20,16.20,16.20,15.81,8.25,4.20
조동욱,24, P,-0.03,4,4,0,0,0,0,1,1,0,0,17.1,14,15,15.00,80,21,4,0,1,6,3,0,10,1,1,0,7.27,7.79,7.79,7.38,5.02,1.56
이도윤,22, SS,-0.03,2,0,2,2,0,0,0,0,0,0,1.1,3,3,3.00,8,4,3,0,0,0,0,0,0,0,0,0,20.25,20.25,20.25,20.48,3.78,3.00
송윤준,23, P,-0.04,4,0,4,1,0,0,0,0,0,0,4.1,4,4,4.00,19,4,2,0,0,2,0,0,3,0,1,0,8.31,8.31,8.31,7.72,3.55,1.38
정인욱,21, P,-0.05,8,1,7,2,0,0,0,0,0,0,9.1,5,6,6.70,44,6,1,0,2,10,0,0,6,2,0,0,4.82,5.79,6.46,6.56,8.03,1.71
이민우,22, P,-0.05,24,4,20,1,0,0,1,0,0,0,40.2,24,26,27.05,182,50,8,2,3,14,1,0,22,5,0,1,5.31,5.75,5.99,6.08,4.45,1.57
윤규진,19, P,-0.05,3,0,3,1,0,0,0,0,0,0,4.1,5,5,4.65,20,6,2,1,0,1,0,0,1,0,0,0,10.38,10.38,9.66,9.93,3.95,1.62
이충호,22, P,-0.05,5,0,5,1,0,0,1,0,0,0,4.2,5,5,4.65,27,7,1,0,1,5,1,0,4,1,0,1,9.64,9.64,8.97,8.55,8.18,2.57
장지수,23, P,-0.05,1,0,1,0,0,0,0,0,0,0,2.0,4,5,5.00,11,4,0,0,0,2,0,0,0,0,0,1,18.00,22.50,22.50,20.63,6.95,3.00
류희운,23, P,-0.06,3,0,3,1,0,0,0,0,0,0,4.0,5,5,5.00,20,6,1,0,1,2,0,0,4,0,0,0,11.25,11.25,11.25,10.37,5.87,2.00
한승주,20, P,-0.06,1,1,0,0,0,0,0,0,0,0,1.2,3,3,3.00,10,3,0,0,1,2,0,0,2,0,0,0,16.20,16.20,16.20,17.07,11.86,3.00
윤호솔,19, P,-0.06,3,0,3,1,0,0,0,0,0,0,3.2,7,7,4.95,22,8,1,0,1,3,0,0,2,0,0,0,17.18,17.18,12.15,12.15,8.23,3.00
황영국,21, P,-0.06,18,0,18,4,0,0,0,2,0,2,14.2,9,10,9.45,71,16,1,0,0,10,1,0,15,1,0,2,5.52,6.14,5.80,6.09,3.54,1.77
안영명,20, P,-0.06,39,0,39,11,0,0,1,1,0,1,45.2,30,32,35.80,201,51,8,1,9,18,2,1,34,2,0,0,5.91,6.31,7.06,7.04,5.84,1.51
이충호,24, P,-0.07,3,0,3,0,0,0,0,0,0,0,2.1,1,1,3.05,13,4,1,0,0,3,0,0,3,0,0,0,3.86,3.86,11.76,11.05,4.94,3.00
윤규진,20, P,-0.07,2,0,2,0,0,0,0,0,0,0,3.2,3,5,5.50,19,7,0,0,1,1,0,0,4,0,0,0,7.36,12.27,13.50,13.67,5.36,2.18
김규연,22, P,-0.07,12,0,12,4,0,0,0,0,0,1,13.2,8,11,11.00,70,16,5,0,2,12,0,0,11,3,0,2,5.27,7.24,7.24,7.03,6.24,2.05
박주홍,21, P,-0.08,2,1,1,0,0,0,1,1,0,0,3.0,4,4,3.65,18,2,0,0,0,9,0,0,3,0,0,1,12.00,12.00,10.95,10.03,10.57,3.67
김종수,20, P,-0.08,54,0,54,11,0,0,1,1,1,7,50.0,33,34,37.50,228,54,11,3,6,26,3,1,43,1,0,4,5.94,6.12,6.75,7.00,5.07,1.60
박준영,23, P,-0.08,4,0,4,1,0,0,0,0,0,0,4.1,9,9,5.90,23,2,0,0,0,8,0,0,7,0,0,1,18.69,18.69,12.25,12.19,5.53,2.31
이재민,22, P,-0.08,2,0,2,0,0,0,0,0,0,0,2.0,8,8,5.95,15,3,1,0,0,5,1,0,0,0,0,0,36.00,36.00,26.77,29.30,13.08,4.00
서균,21, P,-0.08,3,0,3,0,0,0,0,0,0,0,1.2,2,2,3.55,10,2,0,0,0,0,2,0,0,1,0,0,10.80,10.80,19.17,19.82,7.49,1.20
윤호솔,22, P,-0.09,52,0,52,7,0,0,3,5,0,7,42.1,19,26,26.00,199,43,6,1,2,28,0,2,33,6,0,3,4.04,5.53,5.53,5.72,4.37,1.68
박윤철,23, P,-0.09,3,0,3,1,0,0,0,0,0,0,3.1,8,8,8.00,20,5,2,0,2,5,0,0,1,0,0,1,21.60,21.60,21.60,19.87,14.89,3.00
