이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
노시환,22, 3B,-0.207,74,69,594.2,160,49,104,7,95.6,2.32,-2.37,,0.51,-0.18,-0.09,,,,-2.12,-2.66,0.00,-2.12,-0.207
노시환,19, 1B,-0.210,36,24,201.2,217,202,13,2,99.1,9.60,0.29,,-0.79,,-0.02,,,,-0.52,-0.83,-1.62,-2.14,-0.051
노수광,23, LF,-0.220,23,15,142.0,27,27,0,0,100.0,1.71,-1.75,-0.09,0.26,,,,,,-1.58,-7.58,-0.69,-2.27,-0.153
하주석,20, SS,-0.221,68,67,558.0,246,89,148,9,96.3,3.82,-5.40,,-0.74,-1.82,,,,,-7.96,-15.93,5.46,-2.50,-0.703
노태형,20, 1B,-0.226,18,5,67.2,66,57,8,1,98.5,8.65,-2.22,,0.06,,0.06,,,,-2.10,-5.49,-0.46,-2.56,-0.185
이동훈,21, CF,-0.226,22,15,140.2,52,50,1,1,98.1,3.26,-1.65,-0.36,-0.35,,,,,,-2.36,-10.30,0.00,-2.36,-0.226
김인환,23, 1B,-0.229,58,48,420.1,392,357,30,5,98.7,8.29,1.13,,0.46,,0.04,,,,1.63,2.10,-4.00,-2.37,0.158
장운호,21, CF,-0.231,23,22,162.0,58,56,2,0,100.0,3.22,-2.20,-0.38,0.17,,,,,,-2.41,-3.38,0.00,-2.41,-0.231
김태연,24, RF,-0.237,13,12,95.0,19,18,1,0,100.0,1.80,-1.42,-0.83,0.30,,,,,,-1.95,-5.74,-0.55,-2.50,-0.185
강상원,21, LF,-0.238,16,0,40.0,10,10,0,0,100.0,2.25,-2.21,-0.19,0.04,,,,,,-2.36,-9.72,-0.13,-2.49,-0.226
노태형,20, 3B,-0.239,7,5,46.0,12,4,5,3,75.0,1.76,-2.74,,0.03,0.00,,,,,-2.71,-7.09,0.00,-2.71,-0.239
임종찬,24, CF,-0.243,16,15,105.0,25,23,2,0,100.0,2.14,-2.75,0.01,0.18,,,,,,-2.56,-17.55,0.00,-2.56,-0.243
정근우,19, 1B,-0.247,30,24,206.2,207,192,11,4,98.1,8.84,-0.80,,0.20,,0.03,,,,-0.57,-0.93,-1.96,-2.53,-0.056
최윤석,19, SS,-0.253,6,3,31.0,14,3,9,2,85.7,3.48,-2.94,,0.04,0.03,,,,,-2.87,-58.99,0.28,-2.59,-0.281
김태연,24, 2B,-0.255,6,4,30.2,21,10,9,2,90.5,5.58,-2.39,,-0.39,-0.05,,,,,-2.84,-8.34,0.15,-2.69,-0.269
유상빈,22, LF,-0.260,11,10,78.0,11,11,0,0,100.0,1.27,-1.50,-0.91,0.12,,,,,,-2.29,-19.41,-0.37,-2.66,-0.224
